,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,names,artists
689,0.441,0.212,4,-13.657,1,0.0287,0.556,5.52E-06,0.0578,0.124,65.311,audio_features,7vqubB6rY1NpGVGpHYobbQ,spotify:track:7vqubB6rY1NpGVGpHYobbQ,https://api.spotify.com/v1/tracks/7vqubB6rY1NpGVGpHYobbQ,https://api.spotify.com/v1/audio-analysis/7vqubB6rY1NpGVGpHYobbQ,202027,4,Without You,['Harry Nilsson']
690,0.656,0.485,0,-14.931,1,0.0347,0.82,0,0.323,0.957,117.18,audio_features,7dL6Yl778BIXMKiWrA8cXe,spotify:track:7dL6Yl778BIXMKiWrA8cXe,https://api.spotify.com/v1/tracks/7dL6Yl778BIXMKiWrA8cXe,https://api.spotify.com/v1/audio-analysis/7dL6Yl778BIXMKiWrA8cXe,142240,4,Goodbye Cruel World,['James Darren']
691,0.623,0.377,0,-11.716,0,0.0375,0.105,0,0.0911,0.448,112.432,audio_features,1LKPYuJXIK8r6CJYThCZEU,spotify:track:1LKPYuJXIK8r6CJYThCZEU,https://api.spotify.com/v1/tracks/1LKPYuJXIK8r6CJYThCZEU,https://api.spotify.com/v1/audio-analysis/1LKPYuJXIK8r6CJYThCZEU,207787,4,Hair,['The Cowsills']
692,0.675,0.49,6,-7.818,1,0.0395,0.714,0.000313,0.113,0.353,84.409,audio_features,0d8U9eJajtUmiJVXbIO624,spotify:track:0d8U9eJajtUmiJVXbIO624,https://api.spotify.com/v1/tracks/0d8U9eJajtUmiJVXbIO624,https://api.spotify.com/v1/audio-analysis/0d8U9eJajtUmiJVXbIO624,157933,4,Don't It Make My Brown Eyes Blue,['Crystal Gayle']
693,0.415,0.359,7,-11.094,1,0.0334,0.707,6.53E-05,0.319,0.404,146.029,audio_features,6meIeOX3DHdaCnaNw67abE,spotify:track:6meIeOX3DHdaCnaNw67abE,https://api.spotify.com/v1/tracks/6meIeOX3DHdaCnaNw67abE,https://api.spotify.com/v1/audio-analysis/6meIeOX3DHdaCnaNw67abE,189520,4,Sukiyaki,['Kyu Sakamoto']
694,0.744,0.798,7,-5.981,1,0.0364,0.175,0.00367,0.26,0.89,125.061,audio_features,0GTK6TesV108Jj5D3MHsYb,spotify:track:0GTK6TesV108Jj5D3MHsYb,https://api.spotify.com/v1/tracks/0GTK6TesV108Jj5D3MHsYb,https://api.spotify.com/v1/audio-analysis/0GTK6TesV108Jj5D3MHsYb,268507,4,Owner of a Lonely Heart,['Yes']
695,0.473,0.194,5,-13.478,1,0.03,0.434,0.00471,0.0716,0.468,80.389,audio_features,0Z2wrhByvdWghopKEwg2Om,spotify:track:0Z2wrhByvdWghopKEwg2Om,https://api.spotify.com/v1/tracks/0Z2wrhByvdWghopKEwg2Om,https://api.spotify.com/v1/audio-analysis/0Z2wrhByvdWghopKEwg2Om,158407,4,Lisbon Antigua,['Nelson Riddle']
696,0.706,0.537,7,-6.347,1,0.348,0.00887,0,0.129,0.775,203.746,audio_features,6iajHa34cSiD5s42Cq9miJ,spotify:track:6iajHa34cSiD5s42Cq9miJ,https://api.spotify.com/v1/tracks/6iajHa34cSiD5s42Cq9miJ,https://api.spotify.com/v1/audio-analysis/6iajHa34cSiD5s42Cq9miJ,225947,4,Peaches & Cream (feat. P. Diddy),"['112', 'Diddy']"
697,0.792,0.33,7,-11.148,1,0.0387,0.695,0,0.109,0.771,111.552,audio_features,1pmTmzgbo4Y73DZuQ4cLae,spotify:track:1pmTmzgbo4Y73DZuQ4cLae,https://api.spotify.com/v1/tracks/1pmTmzgbo4Y73DZuQ4cLae,https://api.spotify.com/v1/audio-analysis/1pmTmzgbo4Y73DZuQ4cLae,141520,4,He's Got the Whole World in His Hands,['Laurie London']
698,0.435,0.701,5,-3.096,1,0.029,0.278,0,0.253,0.851,64.524,audio_features,1jjwY977fRRiso0Z2ZyU6T,spotify:track:1jjwY977fRRiso0Z2ZyU6T,https://api.spotify.com/v1/tracks/1jjwY977fRRiso0Z2ZyU6T,https://api.spotify.com/v1/audio-analysis/1jjwY977fRRiso0Z2ZyU6T,155227,4,Personality,['Lloyd Price']
699,0.776,0.794,6,-7.722,1,0.0723,0.133,2.35E-05,0.689,0.845,109.277,audio_features,0xqb2Euq1PAxKHBA36NUnx,spotify:track:0xqb2Euq1PAxKHBA36NUnx,https://api.spotify.com/v1/tracks/0xqb2Euq1PAxKHBA36NUnx,https://api.spotify.com/v1/audio-analysis/0xqb2Euq1PAxKHBA36NUnx,161813,4,Dancing Machine,['The Jackson 5']
700,0.304,0.58,7,-11.901,1,0.0417,0.779,1.51E-05,0.252,0.404,138.339,audio_features,0eo6DbG3X03HPltJwpdvSu,spotify:track:0eo6DbG3X03HPltJwpdvSu,https://api.spotify.com/v1/tracks/0eo6DbG3X03HPltJwpdvSu,https://api.spotify.com/v1/audio-analysis/0eo6DbG3X03HPltJwpdvSu,127093,4,Kind of a Drag,['The Buckinghams']
701,0.521,0.743,2,-5.903,1,0.0338,0.249,0,0.096,0.451,117.129,audio_features,375ntCG12wzCyfzclwYFwG,spotify:track:375ntCG12wzCyfzclwYFwG,https://api.spotify.com/v1/tracks/375ntCG12wzCyfzclwYFwG,https://api.spotify.com/v1/audio-analysis/375ntCG12wzCyfzclwYFwG,195293,4,"Believe It or Not (Theme from ""Greatest American Hero"")",['Joey Scarbury']
702,0.691,0.238,4,-12.289,1,0.0311,0.883,0.000113,0.124,0.399,99.936,audio_features,6mAB6SjYOrwP2xIbPRgoO9,spotify:track:6mAB6SjYOrwP2xIbPRgoO9,https://api.spotify.com/v1/tracks/6mAB6SjYOrwP2xIbPRgoO9,https://api.spotify.com/v1/audio-analysis/6mAB6SjYOrwP2xIbPRgoO9,194520,4,Don't Worry,['Marty Robbins']
703,0.605,0.544,2,-11.37,1,0.0682,0.823,0.00579,0.338,0.797,115.779,audio_features,4EoUALVwY4i7U6uKRhk8hr,spotify:track:4EoUALVwY4i7U6uKRhk8hr,https://api.spotify.com/v1/tracks/4EoUALVwY4i7U6uKRhk8hr,https://api.spotify.com/v1/audio-analysis/4EoUALVwY4i7U6uKRhk8hr,163627,4,The Wanderer,['Dion']
704,0.805,0.602,0,-9.7,0,0.0579,0.119,0.000122,0.0581,0.744,94.382,audio_features,3VZmChrnVW8JK6ano4gSED,spotify:track:3VZmChrnVW8JK6ano4gSED,https://api.spotify.com/v1/tracks/3VZmChrnVW8JK6ano4gSED,https://api.spotify.com/v1/audio-analysis/3VZmChrnVW8JK6ano4gSED,238600,4,Sexual Healing,['Marvin Gaye']
705,0.651,0.833,8,-1.09,0,0.0315,0.59,0,0.0574,0.922,126.694,audio_features,1n5UaS3liSk1rpR0cdauiA,spotify:track:1n5UaS3liSk1rpR0cdauiA,https://api.spotify.com/v1/tracks/1n5UaS3liSk1rpR0cdauiA,https://api.spotify.com/v1/audio-analysis/1n5UaS3liSk1rpR0cdauiA,167827,4,You Keep Me Hangin' On - Stereo Version,['The Supremes']
706,0.777,0.493,2,-6.516,1,0.126,0.181,0,0.108,0.82,134.086,audio_features,4VKnkoNNM6yTb4cXXX3wqD,spotify:track:4VKnkoNNM6yTb4cXXX3wqD,https://api.spotify.com/v1/tracks/4VKnkoNNM6yTb4cXXX3wqD,https://api.spotify.com/v1/audio-analysis/4VKnkoNNM6yTb4cXXX3wqD,232840,4,Shake It Off,['Mariah Carey']
707,0.625,0.665,4,-11.681,0,0.0375,0.0786,1.37E-05,0.047,0.97,150.275,audio_features,7z85Sqa3JrNebHK8sDtcRG,spotify:track:7z85Sqa3JrNebHK8sDtcRG,https://api.spotify.com/v1/tracks/7z85Sqa3JrNebHK8sDtcRG,https://api.spotify.com/v1/audio-analysis/7z85Sqa3JrNebHK8sDtcRG,235067,4,Crocodile Rock,['Elton John']
708,0.359,0.287,0,-9.51,1,0.0303,0.882,0.00607,0.186,0.189,130.135,audio_features,0IaMMHVbpJ0LrRAeigWOXr,spotify:track:0IaMMHVbpJ0LrRAeigWOXr,https://api.spotify.com/v1/tracks/0IaMMHVbpJ0LrRAeigWOXr,https://api.spotify.com/v1/audio-analysis/0IaMMHVbpJ0LrRAeigWOXr,227133,4,Again,['Janet Jackson']
709,0.675,0.501,10,-6.183,1,0.22,0.0541,0,0.429,0.532,139.861,audio_features,41PWz0hAiU9FqsmjR9Wh62,spotify:track:41PWz0hAiU9FqsmjR9Wh62,https://api.spotify.com/v1/tracks/41PWz0hAiU9FqsmjR9Wh62,https://api.spotify.com/v1/audio-analysis/41PWz0hAiU9FqsmjR9Wh62,260600,4,Lovers And Friends,"['Lil Jon & The East Side Boyz', 'Usher', 'Ludacris']"
710,0.425,0.318,0,-11.945,1,0.0265,0.88,0.00751,0.23,0.438,91.481,audio_features,4TnxH82YkhjcjNBKXkFjhN,spotify:track:4TnxH82YkhjcjNBKXkFjhN,https://api.spotify.com/v1/tracks/4TnxH82YkhjcjNBKXkFjhN,https://api.spotify.com/v1/audio-analysis/4TnxH82YkhjcjNBKXkFjhN,227787,4,Just My Imagination (Running Away With Me),['The Temptations']
711,0.828,0.886,10,-5.241,0,0.088,0.0953,0,0.0501,0.678,107.859,audio_features,4ykxCRFvISQEClEClJIjnK,spotify:track:4ykxCRFvISQEClEClJIjnK,https://api.spotify.com/v1/tracks/4ykxCRFvISQEClEClJIjnK,https://api.spotify.com/v1/audio-analysis/4ykxCRFvISQEClEClJIjnK,209373,4,There You Go,['P!nk']
712,0.652,0.683,2,-6.228,1,0.0555,0.678,1.76E-06,0.0854,0.694,142.721,audio_features,1scCOT2fNdMHeG3k9aBu28,spotify:track:1scCOT2fNdMHeG3k9aBu28,https://api.spotify.com/v1/tracks/1scCOT2fNdMHeG3k9aBu28,https://api.spotify.com/v1/audio-analysis/1scCOT2fNdMHeG3k9aBu28,145000,4,Singing the Blues,['Guy Mitchell']
713,0.315,0.313,10,-9.339,1,0.0297,0.884,0,0.101,0.259,78.356,audio_features,2eg3CoqVGI21N8115BgdQA,spotify:track:2eg3CoqVGI21N8115BgdQA,https://api.spotify.com/v1/tracks/2eg3CoqVGI21N8115BgdQA,https://api.spotify.com/v1/audio-analysis/2eg3CoqVGI21N8115BgdQA,182453,4,Chances Are - Single Version,['Johnny Mathis']
714,0.32,0.252,2,-14.136,1,0.0363,0.825,0,0.356,0.273,123.056,audio_features,3C1mFkJRPmXbgn7gwUTq1O,spotify:track:3C1mFkJRPmXbgn7gwUTq1O,https://api.spotify.com/v1/tracks/3C1mFkJRPmXbgn7gwUTq1O,https://api.spotify.com/v1/audio-analysis/3C1mFkJRPmXbgn7gwUTq1O,182866,4,Love Is A Many-Splendored Thing,['The Four Aces']
715,0.697,0.611,2,-5.997,1,0.0265,0.0178,8.92E-05,0.11,0.603,103.77,audio_features,56BSwBKWHYldQOgYLHiehs,spotify:track:56BSwBKWHYldQOgYLHiehs,https://api.spotify.com/v1/tracks/56BSwBKWHYldQOgYLHiehs,https://api.spotify.com/v1/audio-analysis/56BSwBKWHYldQOgYLHiehs,271667,4,Magic,['Olivia Newton-John']
