,names,uri,artists
87,Kryptonite,spotify:track:6ZOBP3NvffbU4SZcrnt1k6,['3 Doors Down']
88,I Wanna Know,spotify:track:1m2xMsxbtxv21Brome189p,['Joe']
89,To Sir with Love,spotify:track:0gBFr7N2D1GfhkXIIepIGG,['Lulu']
90,I Will Always Love You,spotify:track:4eHbdreAnSOrDDsFfc4Fpm,['Whitney Houston']
91,Bad Romance,spotify:track:34dAuFhftSbjLWksf8c73i,['Lady Gaga']
92,Eye of the Tiger,spotify:track:0cKuO2BdECtbVQDCGx1dqa,['Survivor']
93,I'll Make Love To You,spotify:track:61sQYdFNS6sEBYCyr1q5gn,['Boyz II Men']
94,Fuck You,spotify:track:4ycLiPVzE5KamivXrAzGFG,['CeeLo Green']
95,Physical,spotify:track:3hVrI7snZMTmHCnbwME47u,['Olivia Newton-John']
96,I'm Real - Murder Remix,spotify:track:7rOIWUhSfjWh4E7443PYE8,"['Jennifer Lopez', 'Ja Rule']"
97,Battle of New Orleans,spotify:track:0qMujfRhXLalSaDtN0PPMS,['Johnny Horton']
98,The Way I Are,spotify:track:2bLqfJjuC5syrsgDsZfGmn,"['Timbaland', 'Keri Hilson', 'D.O.E.']"
99,Teenage Dream,spotify:track:55qBw1900pZKfXJ6Q9A2Lc,['Katy Perry']
100,Flashdance...What A Feeling,spotify:track:1vyI6X2Id2CarE73XOLGxM,['Irene Cara']
101,Stayin' Alive - 2007 Remastered Version Saturday Night Fever,spotify:track:5cP52DlDN9yryuZVQDg3iq,['Bee Gees']
102,Fallin',spotify:track:0KQx6HOpJueiSkztcS0r7D,['Alicia Keys']
103,Lollipop,spotify:track:4P7VFiaZb3xrXoqGwZXC3J,"['Lil Wayne', 'Static Major']"
104,Do That To Me One More Time,spotify:track:2gFnSurc2aUja58m4Jq41f,['Captain & Tennille']
105,"One, Two Step (feat. Missy Elliott)",spotify:track:7uKcScNXuO3MWw6LowBjW1,"['Ciara', 'Missy Elliott']"
106,"Exodus (Theme From Otto Preminger's ""Exodus"")",spotify:track:4pKUJwmq9mYcs1KNUsqAHH,"['Ernest Gold', 'Charles Eugene Patrick Boone', 'Ferrante & Teicher']"
107,Live Your Life - feat. Rihanna,spotify:track:16GHcGtW9Io7AuVdNmTjv3,"['T.I.', 'Rihanna']"
108,I Need to Know,spotify:track:7ffwRz8lZyDOE4Vj58Lo72,['Marc Anthony']
109,Big Girls Don't Cry,spotify:track:3VPJVon5HEa2VGZC62RJfW,['Frankie Valli & The Four Seasons']
110,I Can't Stop Loving You,spotify:track:79nJj5dMyTsUzKvN5jUXsJ,['Ray Charles']
111,Call Me,spotify:track:0vLwL4xuJ3s7SeaCdvMqkY,['Blondie']
112,It's Now or Never,spotify:track:1XunTmhOcj3xwh4b8P3isX,['Elvis Presley']
113,Empire State Of Mind,spotify:track:2igwFfvr1OAGX9SKDCPBwO,"['JAY-Z', 'Alicia Keys']"
114,Replay,spotify:track:5vlEg2fT4cFWAqU5QptIpQ,['Iyaz']
115,Here Without You,spotify:track:3NLrRZoMF0Lx6zTlYqeIo4,['3 Doors Down']
116,Run It!,spotify:track:0JDotiqBOKyRVehdpzxgI8,"['Chris Brown', 'Juelz Santana']"
117,She Loves You - Remastered 2009,spotify:track:48JM82SHQTBYkhEYhMaOaa,['The Beatles']
118,Abracadabra,spotify:track:2fmIPKZ6dpko0N4MQuzH4N,['Steve Miller Band']
119,Raindrops Keep Fallin' On My Head,spotify:track:0zRtBDhwtIFTfoK2HuURbM,['B.J. Thomas']
120,Shadow Dancing,spotify:track:3unwRUV5qbjMmH3NJtaODy,['Andy Gibb']
121,Peppermint Twist,spotify:track:3qaxvM6GoaZEiOySyYV4e2,"['Joey Dee', 'Starliters']"
122,Hey Ya!,spotify:track:2PpruBYCo4H7WOBJ7Q2EwM,['Outkast']
123,Ignition (Remix),spotify:track:0nmxH6IsSQVT1YEsCB9UMi,['R. Kelly']
124,Back At One,spotify:track:0CjrIEPmqIKnBHy99hun3v,['Brian McKnight']
125,Night Fever,spotify:track:0YhwwpABBK0GzeUaB8OzIm,['Bee Gees']
126,Say Say Say,spotify:track:4InXjGfCi4hJVWlqPuY6Im,"['Paul McCartney', 'Michael Jackson']"
127,I Heard It Through The Grapevine,spotify:track:1tqT6DhmsrtQgyCKUwotiw,['Marvin Gaye']
128,The Sign,spotify:track:3DYVWvPh3kGwPasp7yjahc,['Ace of Base']
129,In Da Club,spotify:track:4RY96Asd9IefaL3X4LOLZ8,['50 Cent']
130,Every Breath You Take - Remastered 2003,spotify:track:6HJ7sPs8GLMLbOB5DRMzTB,['The Police']
131,Forever,spotify:track:7tAXHZdp9UpcYrHn7MZqfo,['Chris Brown']
132,Sexy Chick (feat. Akon),spotify:track:4MKzCHlZvkwJOQRNkdw4zq,"['David Guetta', 'Akon']"
133,Light My Fire - New Stereo Mix,spotify:track:6tGlPE4QClYVNdaRFxV6Iy,['The Doors']
134,Bette Davis Eyes,spotify:track:0kPeymTUiaidv48eRrMISu,['Kim Carnes']
135,Dilemma,spotify:track:0ARK753YaiJbpLUk7z5yIM,"['Nelly', 'Kelly Rowland']"
136,Y.M.C.A,spotify:track:355qbpf35myn397wClXTg8,['Village People']
137,Baby Boy (feat. Sean Paul),spotify:track:4WY3HyGXsWqjFRCVD6gnTe,"['Beyoncé', 'Sean Paul']"
138,You've Lost That Lovin' Feelin' - Single Version,spotify:track:7ifDMAJEJslLnJwnndYjVn,['The Righteous Brothers']
139,Whatcha Say,spotify:track:2zJZwWF7BTGIIvrAlgzJEx,['Jason Derulo']
140,Grenade,spotify:track:2tJulUYLDKOg9XrtVkMgcJ,['Bruno Mars']
141,No Scrubs,spotify:track:1KGi9sZVMeszgZOWivFpxs,['TLC']
142,Waiting for a Girl like You - 2008 Remaster,spotify:track:1UrZVcINJBqjKw2rF8V0nm,['Foreigner']
143,(Just Like) Starting Over,spotify:track:5GwX1wegV2ox6S5Ak6fjC2,['John Lennon']
144,I Like It,spotify:track:4nVyHATevhl5RC6Qmoko5H,"['Enrique Iglesias', 'Pitbull']"
145,Bubbly,spotify:track:0rFOs9paloAvEtzwDX1Kmc,['Colbie Caillat']
146,Only Girl (In The World),spotify:track:6jAsmDJI8iPhGWtS27kZ67,['Rihanna']
147,Nobody Knows,spotify:track:2PsHIonOTmX6bSrzIJSjyS,['The Tony Rich Project']
148,Drops of Jupiter (Tell Me),spotify:track:2hKdd3qO7cWr2Jo0Bcs0MA,['Train']
149,It's All In The Game,spotify:track:01OFUZ8btJxFI6n5igQUqx,['Tommy Edwards']
150,Wonderland By Night (Wunderland bei Nacht),spotify:track:2SUe50SsXKH97zPwx1pnuL,['Bert Kaempfert']
151,Stranger on the Shore,spotify:track:4CsDlMtoESHZCMcjuoZInd,['Acker Bilk']
152,Stereo Hearts (feat. Adam Levine),spotify:track:0qOnSQQF0yzuPWsXrQ9paz,"['Gym Class Heroes', 'Adam Levine']"
153,Wooly Bully - Remastered,spotify:track:2mlYLbSQjh5bdbLeZe3yB1,['Sam The Sham & The Pharaohs']
154,96 Tears,spotify:track:4PEeZ2U4UfP2Jo8EtIOjus,['? & The Mysterians']
155,Gangsta's Paradise (feat. L.V.),spotify:track:3u9fHuAtjMY1RW2mZfO4Cf,"['Coolio', 'L.V.']"
156,Windy,spotify:track:6RUpOheT93fUdI508K5w6U,['The Association']
157,With You,spotify:track:1j3H54xdahpAkNI0q6S89q,['Chris Brown']
158,I'm Sorry - Single Version,spotify:track:5VyBNCSb8VXoSxD281PRod,['Brenda Lee']
159,With Arms Wide Open,spotify:track:6yagwOP4hNv70YC4pIKUPx,['Creed']
160,Are You Lonesome Tonight?,spotify:track:4wM7V31TsZzzDBEH02Hltb,['Elvis Presley']
161,Hot Stuff - Single Version,spotify:track:5oZESHu8NKKiptSuAHSO5p,['Donna Summer']
162,Love Is Blue,spotify:track:2nnEgQ19F0AklFUsLDKeyJ,['Paul Mauriat']
163,My Humps,spotify:track:4KCjaHCQMIyi0x1sTTQV2j,['Black Eyed Peas']
164,Nothin' on You (feat. Bruno Mars),spotify:track:59dLtGBS26x7kc0rHbaPrq,"['B.o.B', 'Bruno Mars']"
165,Daydream Believer,spotify:track:1LTgbCS6YUFi5ge1ctZZc0,['The Monkees']
166,Hollaback Girl,spotify:track:6RcQOut9fWL6FSqeIr5M1r,['Gwen Stefani']
167,Let Me Blow Ya Mind,spotify:track:3RmKpob8xzv1pzHEQrMJah,"['Eve', 'Gwen Stefani']"
168,So What,spotify:track:6qYGUxPjQt5PJtWdiNppZx,['P!nk']
169,Right Thurr,spotify:track:2YXY0uVfVXn15oOVZDji80,['Chingy']
170,Centerfold,spotify:track:1ynmMEK1fkyiZ6Z6F3ThEt,['The J. Geils Band']
171,Let's Get It On,spotify:track:0jHkgTtTaqg5LNCiYDQPUB,['Marvin Gaye']
172,Everything You Want,spotify:track:4cKGldbhGJniI8BrB3K6tb,['Vertical Horizon']
173,Baby Got Back,spotify:track:4vvOv6MDFFPpEb1gwwb2ZD,['Sir Mix-A-Lot']
174,Love Child,spotify:track:3NEXHif5VQoVe3A9yidyBv,['Diana Ross & The Supremes']
175,At The Hop,spotify:track:0MHBcs8i2GXPO2EjHW9RRy,['Danny & The Juniors']
176,"I Can’t Help Myself (Sugar Pie, Honey Bunch)",spotify:track:2EiyrT9qY8aSzOZXffkxWK,['Four Tops']
177,Joy To The World,spotify:track:2ymeOsYijJz09LfKw3yM2x,['Three Dog Night']
178,Honky Tonk Women - Mono Version,spotify:track:4z7OCDAAIZxfzQ6qyUSx1O,['The Rolling Stones']
179,Endless Love,spotify:track:4GBPZmnLHEMdthyo2RDolF,"['Lionel Richie', 'Diana Ross']"
180,Kiss Me,spotify:track:75fuzn623bYyKISKlFHdCw,['Sixpence None The Richer']
181,Roses Are Red (My Love) - Single Version,spotify:track:0qYok0f8O5DE8yJSo146dn,['Bobby Vinton']
182,I Can't Get Next To You,spotify:track:68UtD4etxwmnStT24vi4qP,['The Temptations']
183,The Ballad Of The Green Berets,spotify:track:0yjNmllr3Ew6f97TqPuEqa,['Sgt. Barry Sadler']
184,Buy U a Drank (Shawty Snappin') (feat. Yung Joc),spotify:track:2aIdVb8v9KTpEZnftkz2mD,"['T-Pain', 'Yung Joc']"
185,Incense And Peppermints,spotify:track:20MBLB1TCm3tQK3XZlHXTK,['Strawberry Alarm Clock']
186,Return to Sender,spotify:track:2cdzutoqFK6sfW6exi7oXh,['Elvis Presley']
187,All Night Long (All Night) - Single Version,spotify:track:2Wb9ejnmy27DUTUe9YF5Ew,['Lionel Richie']
188,Downtown,spotify:track:0hgWgToJgb7O1tT12YWRCz,['Petula Clark']
189,Party In The U.S.A.,spotify:track:5Q0Nhxo0l2bP3pNjpGJwV1,['Miley Cyrus']
190,Ode To Billie Joe,spotify:track:4FdDorlbJTVHcH3djLbIfn,['Bobbie Gentry']
191,Foolish,spotify:track:6zMUIb4uce1CzpbjR3vMdN,['Ashanti']
192,...Baby One More Time,spotify:track:3MjUtNVVq3C8Fn0MP3zhXa,['Britney Spears']
193,Crimson & Clover,spotify:track:6FEKEO3y7QFcMwoGeR0GtU,['Tommy James & The Shondells']
194,No Air (feat. Chris Brown),spotify:track:519tXYJVcrpEMqV2BMbh6E,"['Jordin Sparks', 'Chris Brown']"
195,Goodies (feat. Petey Pablo),spotify:track:3dFwpxh2yH7C7p9BGEKLVB,"['Ciara', 'Petey Pablo']"
196,I Heard It Through The Grapevine,spotify:track:3GTW5dViDQ4jNsLWmekX9I,['Gladys Knight & The Pips']
197,Mr. Blue,spotify:track:6bnFjTW3EnMG4BwreDnSHK,['The Fleetwoods']
198,Upside Down,spotify:track:76as3dkOkHGMAvwmaKXPMD,['Diana Ross']
199,Raise Your Glass,spotify:track:12lZTPlXwUtrQuhEty6098,['P!nk']
200,Kiss You All Over,spotify:track:22tE4KeWpg4R7REusR84eO,['Exile']
201,Lady,spotify:track:4jPKdEJ5DNYv08C0BXaC11,['Kenny Rogers']
202,Crazy In Love (feat. Jay-Z),spotify:track:5IVuqXILoxVWvWEPm82Jxr,"['Beyoncé', 'JAY-Z']"
203,Tom Dooley,spotify:track:2GoyYuGRulwK0NLmcCycmk,['The Kingston Trio']
204,Big Bad John,spotify:track:672QCsnpLdBXTdocwJW5tD,['Jimmy Dean']
205,Stand By Me,spotify:track:2XqTTDg835sjCyyFEvhYyr,['Ben E. King']
206,Last Date,spotify:track:25hLJJoW3MVBNJjETKq3y3,['Floyd Cramer']
207,Love Letters In The Sand,spotify:track:4pvHoNisb1NWUgvVBDXkX4,['Pat Boone']
208,Slide,spotify:track:0nnwn7LWHCAu09jfuH1xTA,['The Goo Goo Dolls']
209,Hot In Herre,spotify:track:04KTF78FFg8sOHC1BADqbY,['Nelly']
210,Burn - Radio Mix,spotify:track:6gpEUabUe4Qtc0jek4BC50,['Usher']
211,I Will Survive - Single Version,spotify:track:2xZ9rv7rB2tRwXXPuQV62j,['Gloria Gaynor']
212,Heartless,spotify:track:5h9pB5af60LWJBrG1HCHsU,['Kanye West']
213,"Oh, Pretty Woman",spotify:track:6WrSjCCJyjaRCncpQiN4R8,['Roy Orbison']
214,Boulevard of Broken Dreams,spotify:track:5GorCbAP4aL0EJ16frG2hd,['Green Day']
215,Get Busy,spotify:track:7C86DVl6REN8VPeGEMOf9q,['Sean Paul']
216,Maria Maria (feat. The Product G&B),spotify:track:3XKIUb7HzIF1Vu9usunMzc,"['Santana', 'The Product G&B']"
217,Come Together - Remastered 2009,spotify:track:2EqlS6tkEnglzr7tkKAAYD,['The Beatles']
218,Sugar Shack,spotify:track:2nAR2OjaGIXesjm7Kq7Kzu,['Jimmy Gilmer and the Fireballs']
219,Come See About Me - Album Version (Stereo),spotify:track:73x9NfEflWI3qdIMCcxGqe,['The Supremes']
220,A Thousand Miles,spotify:track:4w1lzcaoZ1IC2K5TwjalRP,['Vanessa Carlton']
221,All That She Wants,spotify:track:3AeQv8d6mhPuD2dmnpI5jB,['Ace of Base']
222,Happy Together,spotify:track:1JO1xLtVc8mWhIoE3YaCL0,['The Turtles']
223,I Get Around - Remastered,spotify:track:59uVL70mVMC70500N90m0c,['The Beach Boys']
224,Leaving on a Jet Plane,spotify:track:6ZSTinOwx5dKFYc6iYyGDn,"['Peter, Paul and Mary']"
225,(Sittin' On) the Dock of the Bay,spotify:track:3XWiy9JEQ4iyqCzIqqdQu3,['Otis Redding']
226,Quit Playing Games (With My Heart),spotify:track:1nRwyxNsqCLeA17qR8Nfxx,['Backstreet Boys']
227,How to Save a Life,spotify:track:5fVZC9GiM4e8vu99W0Xf6J,['The Fray']
228,I Think I Love You,spotify:track:2hb6LFp0TwBjkhf37od4G3,['The Partridge Family']
229,My Boo,spotify:track:68vgtRHr7iZHpzGpon6Jlo,"['Usher', 'Alicia Keys']"
230,Believe,spotify:track:2goLsvvODILDzeeiT4dAoR,['Cher']
231,"Independent Women, Pt. 1",spotify:track:69XUpOpjzDKcfdxqZebGiI,"[""Destiny's Child""]"
232,American Pie,spotify:track:2QgWuCtBpNIpl5trmKCxRf,['Don McLean']
233,The First Time Ever I Saw Your Face,spotify:track:0SxFyA4FqmEQqZVuAlg8lf,['Roberta Flack']
234,BedRock,spotify:track:3iL2l5gUqyPS6vDwJFgJTR,"['Young Money', 'Lloyd']"
235,If I Ever Fall In Love,spotify:track:1jCsCYgzQQHk3bDJDuFbNi,['Shai']
236,Maggie May - Remastered Version,spotify:track:1r3kj1yMff7ilIsR7hpvUo,['Rod Stewart']
